Country,Posting Date,Brand,Daily Sales
Country 1,27.10.2017,Brand A,31.90
Country 1,30.10.2017,Brand A,"27,405.53"
Country 1,31.10.2017,Brand A,"25,437.27"
Country 1,01.11.2017,Brand A,"14,072.07"
Country 1,02.11.2017,Brand A,63.82
Country 1,03.11.2017,Brand A,21.27
Country 1,06.11.2017,Brand A,"27,138.17"
Country 1,07.11.2017,Brand A,"32,312.95"
Country 1,08.11.2017,Brand A,"10,416.46"
Country 1,10.11.2017,Brand A,31.96
Country 1,13.11.2017,Brand A,"24,261.63"
Country 1,14.11.2017,Brand A,"23,686.15"
Country 1,15.11.2017,Brand A,"14,940.75"
Country 1,16.11.2017,Brand A,42.61
Country 1,17.11.2017,Brand A,74.57
Country 1,20.11.2017,Brand A,"29,348.57"
Country 1,21.11.2017,Brand A,"45,660.54"
Country 1,22.11.2017,Brand A,479.36
Country 1,04.12.2017,Brand A,"30,638.05"
Country 1,05.12.2017,Brand A,"31,679.45"
Country 1,06.12.2017,Brand A,"15,902.27"
Country 1,07.12.2017,Brand A,398.49
Country 1,11.12.2017,Brand A,"32,980.70"
Country 1,12.12.2017,Brand A,"42,745.54"
Country 1,13.12.2017,Brand A,"16,133.60"
Country 1,14.12.2017,Brand A,42.53
Country 1,18.12.2017,Brand A,"19,937.61"
Country 1,19.12.2017,Brand A,"19,080.00"
Country 1,20.12.2017,Brand A,-604.42
Country 1,21.12.2017,Brand A,21.26
Country 1,02.01.2018,Brand A,"76,685.95"
Country 1,03.01.2018,Brand A,244.82
Country 1,04.01.2018,Brand A,"13,394.63"
Country 1,08.01.2018,Brand A,"20,530.46"
Country 1,09.01.2018,Brand A,"35,886.92"
Country 1,10.01.2018,Brand A,"3,611.24"
Country 1,11.01.2018,Brand A,"10,816.09"
Country 1,15.01.2018,Brand A,"19,042.57"
Country 1,16.01.2018,Brand A,"30,941.85"
Country 1,17.01.2018,Brand A,"10,619.04"
Country 1,22.01.2018,Brand A,"21,428.55"
Country 1,23.01.2018,Brand A,"21,467.63"
Country 1,24.01.2018,Brand A,"9,300.79"
Country 1,25.01.2018,Brand A,42.85
Country 1,01.02.2018,Brand A,10.21
Country 1,05.02.2018,Brand A,"16,747.51"
Country 1,06.02.2018,Brand A,"27,845.71"
Country 1,07.02.2018,Brand A,"10,769.15"
Country 1,12.02.2018,Brand A,"25,451.79"
Country 1,13.02.2018,Brand A,"16,861.15"
Country 1,14.02.2018,Brand A,"11,305.37"
Country 1,19.02.2018,Brand A,"25,179.30"
Country 1,20.02.2018,Brand A,"13,206.75"
Country 1,21.02.2018,Brand A,"10,384.85"
Country 1,23.02.2018,Brand A,20.41
